Country Name,Country Code,Series Name,Series Code,Year,Value
Bolivia,BOL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2023,3620.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1970,450.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1971,510.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1972,590.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1973,730.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1974,960.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1975,1180.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1976,1400.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1977,1510.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1978,1700.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1979,1990.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1980,2170.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1981,2110.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1982,2060.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1983,1770.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1984,1680.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1985,1540.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1986,1750.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1987,2030.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1988,2300.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1989,2630.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1990,2610.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1991,2660.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1992,2450.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1993,2310.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1994,2620.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1995,3440.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1996,4420.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1997,5110.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1998,4980.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1999,4230.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2000,3950.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2001,3370.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2002,3120.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2003,3010.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2004,3370.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2005,4030.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2006,4890.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2007,6240.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2008,7680.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2009,8400.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2010,9750.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2011,11210.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2012,12460.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2013,12950.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2014,12280.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,10330.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2016,9050.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2017,8830.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2018,9320.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2019,9410.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2020,8080.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2021,8060.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2022,8450.00
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2023,9280.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1970,880.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1971,1050.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1972,1140.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1973,1350.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1974,1640.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1975,1140.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1976,1010.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1977,1050.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1978,1350.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1979,1780.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1980,2290.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1981,2760.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1982,2030.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1983,1640.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1984,1450.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1985,1410.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1986,1450.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1987,1640.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1988,1910.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1989,2170.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1990,2320.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1991,2570.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1992,3080.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1993,3400.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1994,3690.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1995,4380.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1996,5030.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1997,5560.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1998,5470.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1999,5100.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2000,5030.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2001,4780.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2002,4520.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2003,4570.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2004,5200.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2005,6200.00
